"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1689125454","x1377279526196109312",2021-03-31 15:20:02,"DoubleDribbleWP","@SarahSpain This is so true as a sports fan too. In my mind Steph Curry is a really good kid who could have a great career. LeBron James has the potential to be the next GOAT. This Tim Duncan is just terrific. Magic and Michael are the gold standard, and watch out for Shaq when he gets here!","Twitter Web App",280,"x1377278751625601024","x18494981","SarahSpain",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x18494981","SarahSpain","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DoubleDribbleWP/status/1377279526196109312","Jason Palumbo<U+0001F1FA><U+0001F1F8><U+0001F3F3><U+FE0F><U+200D><U+0001F308><U+2764><U+FE0F>","NYC","Black Lives Matter

Proponent of basketball, comic books, and equality",,FALSE,204,391,12,33676,89599,2013-08-21 20:26:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/1689125454/1446782597","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000335643299/cf8a0c0c280793335a580e180b9e43be_normal.jpeg"
"x2990576339","x1377277634569252866",2021-03-31 15:12:31,"INFAMOUSBOUL","LeBron James Stats <U+0001F633>:
80 Pts
30 Assists
9 Rebounds
2 Steals

GOAT?<U+0001F440>","Twitter for iPhone",67,"x1377277417337851910","x2990576339","INFAMOUSBOUL",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/0e662f24a70057f3.json","Hormigueros","Hormigueros, USA","city","United States","US","NA NA","NA NA","-67.156402 -67.084034 -67.084034 -67.156402 18.120534 18.120534 18.160412 18.160412","https://twitter.com/INFAMOUSBOUL/status/1377277634569252866","Pee-Air","I Be Around","<U+0001F1F5><U+0001F1F7>",,FALSE,939,796,2,30431,18597,2015-01-21 21:01:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/2990576339/1586657455","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1354858901892698112/aet5fDOJ_normal.jpg"
"x1369938930993262592","x1377277509620785153",2021-03-31 15:12:01,"star177788","There is only one Goat , that is LeBron James https://t.co/Vz50R9DjVB","Twitter for Android",69,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1376664484995993601/pu/img/EmgwSWbPqAkoIgha.jpg","https://t.co/Vz50R9DjVB","https://twitter.com/ThrowbackHoops/status/1376664627686240256/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1376664484995993601/pu/img/EmgwSWbPqAkoIgha.jpg","https://t.co/Vz50R9DjVB","https://twitter.com/ThrowbackHoops/status/1376664627686240256/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/star177788/status/1377277509620785153","Sam","","",,FALSE,2,12,0,284,829,2021-03-11 09:11:17,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1376910378622324738/YniU3lCd_normal.jpg"
"x1287173227861536768","x1376672278319046661",2021-03-29 23:07:03,"time4change916","@ShannonSharpe You contradicting yourself UNC. Everytime LeBron wins anything you say it's because of goat James lol but when he loses its everyone else. That's nothing but a scapegoat that's what LeBron and all his cheerleaders are lol you the president of his cheer squad.","Twitter for Android",259,"x1376616385728573442","x371539066","ShannonSharpe",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x371539066","ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1376672278319046661","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1377120571801006086",2021-03-31 04:48:24,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe His fanatics say this. If he's the best he wouldn't have lost in the finals so many times just face it. Look at the Kobe's final record look at Jordans frinals record and you think LeBron is the goat lol it's not even close to real.","Twitter for Android",232,"x1377115994515140612","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1377120571801006086","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1376957624348905473",2021-03-30 18:00:54,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe Ok since your good at numbers which you are clearly. How come u never look at the fact that LeBron is 6'9 260 &amp; has been pretty much as fast as guards &amp; strong as power forwards &amp; some centers &amp; yet u compare him to Jordan who was 6'6 216 plus he's a guard LBJ is a small forward.","Twitter for Android",296,"x1376773123912081414","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1376957624348905473","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1377121584616378376",2021-03-31 04:52:26,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe Not the finals everyone has lost games but not as many finals as lebron. Terrible argument. Lebron went to all these finals in a row and kept losing how pathetic.","Twitter for Android",162,"x1377120771391152134","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1377121584616378376","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1377271125588119554",2021-03-31 14:46:39,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe Doesn't matter when how or with who. Once he got their he didn't choke like LeBron has lol nice try.","Twitter for Android",100,"x1377123183598333952","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1377271125588119554","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1377272249053417473",2021-03-31 14:51:07,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe Excuses lol you play who you play in the finals. LeBron just isn't that guy in the biggest moments facts. People talk about how Giannis doesn't show up in the biggest moments well clearly LeBron has choked several times. make all the excuses u can't erase them losses. Facts","Twitter for Android",274,"x1377124427217788928","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1377272249053417473","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
"x1287173227861536768","x1377119738531209219",2021-03-31 04:45:05,"time4change916","@GOAT__JAMES @Ryan85313260 @ShannonSharpe What does this have to do with winning and losing nobody cares whose favored to win they only care if you win or lose. LeBron lost 6 times just face it stop making excuses for him.","Twitter for Android",180,"x1377118311603838983","x1356711668772823040","GOAT__JAMES",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1356711668772823040 x1195886375578558466 x371539066","GOAT__JAMES Ryan85313260 ShannonSharpe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/time4change916/status/1377119738531209219","Tim","","Not democrat republican or independent I just believe in right and wrong. Just a work in progress trying to be a better man each day that I am blessed to see.",,FALSE,1,159,0,736,71,2020-07-25 23:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1287173227861536768/1595721568",,"http://pbs.twimg.com/profile_images/1287175619306897408/q2EkvU5Y_normal.jpg"
